dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	ref_value
07--GRS--1	07--GRS		F1					07--GRS		0
07--GRS--10	07--GRS		F1					07--GRS		0
07--GRS--2	07--GRS		F1					07--GRS		0
07--GRS--3	07--GRS		F1					07--GRS		0
07--GRS--4	07--GRS		F1					07--GRS		0
07--GRS--5	07--GRS		F1					07--GRS		0
07--GRS--6	07--GRS		F1					07--GRS		0
07--GRS--7	07--GRS		F1					07--GRS		1
07--GRS--8	07--GRS		F1					07--GRS		1
07--GRS--9	07--GRS		F1					07--GRS		0
12508-1	12508		F1					12508		0
12508-10	12508		F1					12508		1
12508-11	12508		F1					12508		0
12508-12	12508		F1					12508		1
12508-2	12508		F1					12508		1
12508-3	12508		F1					12508		0
12508-4	12508		F1					12508		1
12508-5	12508		F1					12508		1
12508-6	12508		F1					12508		1
12508-7	12508		F1					12508		1
12508-8	12508		F1					12508		1
12508-9	12508		F1					12508		1
12509-1	12509		F1					12509		0
12509-10	12509		F1					12509		0
12509-11	12509		F1					12509		0
12509-12	12509		F1					12509		1
12509-2	12509		F1					12509		0
12509-3	12509		F1					12509		0
12509-4	12509		F1					12509		0
12509-5	12509		F1					12509		0
12509-6	12509		F1					12509		1
12509-7	12509		F1					12509		0
12509-8	12509		F1					12509		0
12509-9	12509		F1					12509		0
12510-1	12510		F1					12510		1
12510-10	12510		F1					12510		1
12510-11	12510		F1					12510		0
12510-12	12510		F1					12510		0
12510-2	12510		F1					12510		0
12510-3	12510		F1					12510		1
12510-4	12510		F1					12510		1
12510-5	12510		F1					12510		1
12510-6	12510		F1					12510		1
12510-7	12510		F1					12510		1
12510-8	12510		F1					12510		1
12510-9	12510		F1					12510		1
12511-1	12511		F1					12511		0
12511-10	12511		F1					12511		0
12511-11	12511		F1					12511		1
12511-12	12511		F1					12511		1
12511-2	12511		F1					12511		0
12511-3	12511		F1					12511		1
12511-4	12511		F1					12511		0
12511-5	12511		F1					12511		0
12511-6	12511		F1					12511		0
12511-7	12511		F1					12511		0
12511-8	12511		F1					12511		0
12511-9	12511		F1					12511		0
12512-1	12512		F1					12512		1
12512-10	12512		F1					12512		1
12512-11	12512		F1					12512		0
12512-12	12512		F1					12512		0
12512-2	12512		F1					12512		1
12512-3	12512		F1					12512		1
12512-4	12512		F1					12512		1
12512-5	12512		F1					12512		1
12512-6	12512		F1					12512		1
12512-7	12512		F1					12512		1
12512-8	12512		F1					12512		1
12512-9	12512		F1					12512		1
12513-1	12513		F1					12513		1
12513-10	12513		F1					12513		1
12513-11	12513		F1					12513		0
12513-12	12513		F1					12513		1
12513-2	12513		F1					12513		0
12513-3	12513		F1					12513		1
12513-4	12513		F1					12513		0
12513-5	12513		F1					12513		1
12513-6	12513		F1					12513		1
12513-7	12513		F1					12513		1
12513-8	12513		F1					12513		1
12513-9	12513		F1					12513		0
12514-1	12514		F1					12514		0
12514-10	12514		F1					12514		0
12514-11	12514		F1					12514		1
12514-12	12514		F1					12514		1
12514-2	12514		F1					12514		1
12514-3	12514		F1					12514		1
12514-4	12514		F1					12514		0
12514-5	12514		F1					12514		1
12514-6	12514		F1					12514		0
12514-7	12514		F1					12514		0
12514-8	12514		F1					12514		1
12514-9	12514		F1					12514		0
12515-1	12515		F1					12515		1
12515-10	12515		F1					12515		1
12515-2	12515		F1					12515		0
12515-3	12515		F1					12515		0
12515-4	12515		F1					12515		1
12515-5	12515		F1					12515		1
12515-6	12515		F1					12515		1
12515-7	12515		F1					12515		1
12515-8	12515		F1					12515		0
12515-9	12515		F1					12515		1
12516-1	12516		F1					12516		1
12516-10	12516		F1					12516		1
12516-11	12516		F1					12516		0
12516-12	12516		F1					12516		0
12516-2	12516		F1					12516		1
12516-3	12516		F1					12516		0
12516-4	12516		F1					12516		0
12516-5	12516		F1					12516		1
12516-6	12516		F1					12516		0
12516-7	12516		F1					12516		0
12516-8	12516		F1					12516		0
12516-9	12516		F1					12516		0
12517-1	12517		F1					12517		1
12517-10	12517		F1					12517		1
12517-11	12517		F1					12517		1
12517-12	12517		F1					12517		0
12517-2	12517		F1					12517		0
12517-3	12517		F1					12517		1
12517-4	12517		F1					12517		1
12517-5	12517		F1					12517		1
12517-6	12517		F1					12517		0
12517-7	12517		F1					12517		1
12517-8	12517		F1					12517		1
12517-9	12517		F1					12517		1
12518-1	12518		F1					12518		0
12518-10	12518		F1					12518		1
12518-11	12518		F1					12518		0
12518-12	12518		F1					12518		0
12518-2	12518		F1					12518		0
12518-3	12518		F1					12518		1
12518-4	12518		F1					12518		0
12518-5	12518		F1					12518		1
12518-6	12518		F1					12518		0
12518-7	12518		F1					12518		1
12518-8	12518		F1					12518		0
12518-9	12518		F1					12518		0
12519-1	12519		F1					12519		1
12519-10	12519		F1					12519		1
12519-11	12519		F1					12519		1
12519-12	12519		F1					12519		1
12519-2	12519		F1					12519		1
12519-3	12519		F1					12519		1
12519-4	12519		F1					12519		1
12519-5	12519		F1					12519		1
12519-6	12519		F1					12519		0
12519-7	12519		F1					12519		0
12519-8	12519		F1					12519		1
12519-9	12519		F1					12519		1
12520-1	12520		F1					12520		1
12520-10	12520		F1					12520		1
12520-11	12520		F1					12520		1
12520-12	12520		F1					12520		0
12520-2	12520		F1					12520		1
12520-3	12520		F1					12520		0
12520-4	12520		F1					12520		0
12520-5	12520		F1					12520		1
12520-6	12520		F1					12520		1
12520-7	12520		F1					12520		1
12520-8	12520		F1					12520		1
12520-9	12520		F1					12520		1
12522-1	12522		F1					12522		0
12522-10	12522		F1					12522		1
12522-11	12522		F1					12522		1
12522-12	12522		F1					12522		0
12522-2	12522		F1					12522		0
12522-3	12522		F1					12522		1
12522-4	12522		F1					12522		1
12522-5	12522		F1					12522		0
12522-6	12522		F1					12522		1
12522-7	12522		F1					12522		1
12522-8	12522		F1					12522		1
12522-9	12522		F1					12522		1
12523-1	12523		F1					12523		0
12523-10	12523		F1					12523		0
12523-11	12523		F1					12523		1
12523-12	12523		F1					12523		1
12523-2	12523		F1					12523		0
12523-3	12523		F1					12523		0
12523-4	12523		F1					12523		0
12523-5	12523		F1					12523		0
12523-6	12523		F1					12523		0
12523-7	12523		F1					12523		0
12523-8	12523		F1					12523		0
12523-9	12523		F1					12523		0
12524-1	12524		F1					12524		1
12524-10	12524		F1					12524		1
12524-2	12524		F1					12524		1
12524-3	12524		F1					12524		1
12524-4	12524		F1					12524		1
12524-5	12524		F1					12524		1
12524-6	12524		F1					12524		0
12524-7	12524		F1					12524		1
12524-8	12524		F1					12524		1
12524-9	12524		F1					12524		1
12525-1	12525		F1					12525		0
12525-10	12525		F1					12525		0
12525-11	12525		F1					12525		1
12525-12	12525		F1					12525		1
12525-2	12525		F1					12525		0
12525-3	12525		F1					12525		1
12525-4	12525		F1					12525		1
12525-5	12525		F1					12525		1
12525-6	12525		F1					12525		1
12525-7	12525		F1					12525		1
12525-8	12525		F1					12525		0
12525-9	12525		F1					12525		0
12526-1	12526		F1					12526		1
12526-10	12526		F1					12526		1
12526-11	12526		F1					12526		1
12526-12	12526		F1					12526		1
12526-2	12526		F1					12526		1
12526-3	12526		F1					12526		1
12526-4	12526		F1					12526		1
12526-5	12526		F1					12526		1
12526-6	12526		F1					12526		1
12526-7	12526		F1					12526		1
12526-8	12526		F1					12526		1
12526-9	12526		F1					12526		1
12527-1	12527		F1					12527		1
12527-10	12527		F1					12527		1
12527-11	12527		F1					12527		1
12527-12	12527		F1					12527		1
12527-2	12527		F1					12527		0
12527-3	12527		F1					12527		1
12527-4	12527		F1					12527		1
12527-5	12527		F1					12527		0
12527-6	12527		F1					12527		1
12527-7	12527		F1					12527		1
12527-8	12527		F1					12527		0
12527-9	12527		F1					12527		1
12528-1	12528		F1					12528		1
12528-10	12528		F1					12528		1
12528-11	12528		F1					12528		1
12528-12	12528		F1					12528		0
12528-2	12528		F1					12528		1
12528-3	12528		F1					12528		1
12528-4	12528		F1					12528		1
12528-5	12528		F1					12528		1
12528-6	12528		F1					12528		1
12528-7	12528		F1					12528		1
12528-8	12528		F1					12528		1
12528-9	12528		F1					12528		1
12529-1	12529		F1					12529		1
12529-10	12529		F1					12529		1
12529-11	12529		F1					12529		1
12529-12	12529		F1					12529		1
12529-2	12529		F1					12529		1
12529-3	12529		F1					12529		1
12529-4	12529		F1					12529		1
12529-5	12529		F1					12529		1
12529-6	12529		F1					12529		1
12529-7	12529		F1					12529		1
12529-8	12529		F1					12529		1
12529-9	12529		F1					12529		1
12530-1	12530		F1					12530		1
12530-10	12530		F1					12530		1
12530-11	12530		F1					12530		0
12530-12	12530		F1					12530		1
12530-2	12530		F1					12530		1
12530-3	12530		F1					12530		1
12530-4	12530		F1					12530		0
12530-5	12530		F1					12530		1
12530-6	12530		F1					12530		0
12530-7	12530		F1					12530		0
12530-8	12530		F1					12530		1
12530-9	12530		F1					12530		0
12531-1	12531		F1					12531		1
12531-10	12531		F1					12531		1
12531-11	12531		F1					12531		1
